Project ID	Street	Zip
1 BELL SLIP	45 COMMERCIAL STREET	11222
1 BOERUM PLACE APARTMENTS	346 FULTON STREET	11201
1 COLUMBUS PLACE	1 COLUMBUS PLACE	10019
1 FLATBUSH AVENUE	15 FLATBUSH AVENUE	11217
1 SULLIVAN	1 SULLIVAN PLACE	11225
1 UNION SQUARE SOUTH APARTMENTS	1 UNION SQUARE SOUTH	10003
10 LEXINGTON AVENUE	10 LEXINGTON AVENUE	11238
10 MONTIETH STREET	10 MONTIETH STREET	11206
10 WEST 132 STREET APARTMENTS	10 WEST 132 STREET	10037
10-44 JACKSON AVENUE APARTMENTS	Oct-44 JACKSON AVENUE	
100 BARROW STREET	100 BARROW STREET	10014
100 HIMROD STREET	100 HIMROD STREET	11221
100 SUYDAM STREET	1251 MYRTLE AVENUE	11221
1007 ATLANTIC AVENUE	1007 ATLANTIC AVENUE	11238
101 - 103 - 105 LIBERTY	101 LIBERTY AVENUE	11212
101 BRUCKNER BLVD	101 BRUCKNER BOULEVARD	10454
101 SOUTH 3RD ST (LOS SURES PHASE 1)	103 SOUTH 3 STREET	11249
101-35 106TH STREET, QUEENS	101-35 106 STREET	11416
1010 ROGERS AVENUE	1010 ROGERS AVENUE	11226
1019 FULTON STREET	1019 FULTON STREET	11238
102 CENTRAL AVENUE	102 CENTRAL AVENUE	11206
102 CHARLTON STREET	102 CHARLTON STREET	10014
102 HOOKER PLACE	102 HOOKER PLACE	10302
102 QUINCY STREET	102 QUINCY STREET	11238
102 SOMERS STREET	102 SOMERS STREET	11233
1025-1027 LEGGETT AVE HDFC.PLP.FY19	1025 LEGGETT AVENUE	10455
1027 REVEREND JAMES POLITE AVENUE APARTMENTS	1027 REV JAMES A POLITE AVENUE	10459
103 VARET MANAGEMENT LLC	103 VARET STREET	11206
103-43 120TH STREET APARTMENTS	103-43 120 STREET	11419
1030-1032 STEBBINS AVENUE APARTMENTS	1032 REV JAMES POLITE AVENUE	10459
1030-1032 STEBBINS AVENUE APARTMENTS	1030 REV JAMES POLITE AVENUE	10459
1032 DEKALB AVENUE	1032 DEKALB AVENUE	11221
1035 ANDERSON AVENUE	1035 ANDERSON AVENUE	10452
1035 CORTELYOU ROAD	1027 CORTELYOU ROAD	11218
104 CENTRAL AVENUE APARTMENTS	104 CENTRAL AVENUE	11206
104 LINDEN BOULEVARD	104 LINDEN BOULEVARD	11226
104-22 ASTORIA BOULEVARD	104-22 ASTORIA BOULEVARD	11369
1042 PRESIDENT STREET	1042 PRESIDENT STREET	11225
1043 FULTON STREET (BPL OFFSITE 1 OF 2)	1043 FULTON STREET	11238
1044 BEDFORD AVENUE	1044 BEDFORD AVENUE	11205
1049 UNDERHILL AVENUE, BRONX	1049 UNDERHILL AVENUE	10472
105-05 NORTHERN BOULEVARD	105-05 NORTHERN BOULEVARD	11368
1050 MANHATTAN AVENUE	1050 MANHATTAN AVENUE	11222
1051 NEW YORK AVENUE	1051 NEW YORK AVENUE	11203
1052 GREENE AVENUE APARTMENTS	1052 GREENE AVENUE	11221
105TH STREET & AMSTERDAM AVENUE PROJECT	981 AMSTERDAM AVENUE	10025
105TH STREET & AMSTERDAM AVENUE PROJECT	107 WEST 105 STREET	10025
1068 FULTON STREET APARTMENTS	1068 FULTON STREET	11238
1068 PUTNAM AVENUE APARTMENTS	1068 PUTNAM AVENUE	11221
1072 UNIVERSITY AVENUE	1072 UNIVERSITY AVENUE	10452
1081 TIFFANY STREET APARTMENTS	1081 TIFFANY STREET	10459
109 BRUCKNER BOULEVARD	109 BRUCKNER BOULEVARD	10454
1091 Bushwick Avenue HDFC	1089 BUSHWICK AVENUE	11221
1095 Bushwick Ave HDFC	1095 BUSHWICK AVENUE	11221
1097 GLENMORE AVE.GHPP.FY18	1097 GLENMORE AVENUE	11208
1098 MADISON STREET	1098 MADISON STREET	11221
11 Jackson Street	11 JACKSON STREET	11211
11-07 WELLING COURT	7-Nov WELLING COURT	
11-39 49TH AVENUE	27-Nov 49 AVENUE	
1104 BEDFORD AVENUE	1104 BEDFORD AVENUE	11216
1109 Madison Street	1113 MADISON STREET	11221
111 EAST 115TH STREET	109 EAST 115 STREET	10029
111 TROUTMAN STREET APARTMENTS	111 TROUTMAN  STREET	11206
111 VARICK STREET	111 VARICK STREET	10013
111 W 71ST STREET	111 WEST 71 STREET	10023
111 WILLOW AVENUE	750 EAST 134 STREET	10454
1117 HOE AVENUE APARTMENTS	1117 HOE AVENUE	10459
1119 BROADWAY	1119 BROADWAY	11221
1120 WHEELER AVE.GHPP.FY20	1120 WHEELER AVENUE	10472
1121 36TH STREET APARTMENTS	1121 36 STREET	11218
1127 FLATBUSH AVENUE APARTMENTS	1127 FLATBUSH AVENUE	11226
1130 SHEVA REALTY HDFC.HPO.FY17	1130 ANDERSON AVENUE	10452
1134 FULTON STREET	1134 FULTON STREET	11216
114 JEFFERSON STREET	114 JEFFERSON STREET	11206
1140 BUSHWICK AVENUE	1140 BUSHWICK AVENUE	11221
115 STANWIX STREET	115 STANWIX STREET	11206
115 SUYDAM STREET	115 SUYDAM STREET	11221
