0NE MAIN ST. ROOSEVELT ISLAND	10044	1068480	747936	0	0
0NE MAIN ST. ROOSEVELT ISLAND	10044	144000	100800	1512	2160
1 5 AVENUE	10003	164250	114975	17246.25	24637.5
1 5 AVENUE	10003	164250	114975	17246.25	24637.5
1 BANK STREET	10014	91250	63875	9261.875	13231.25
1 EAST 198 STREET	10468	34218	23953	3451	4930
1 EAST 213 STREET	10467	16425	11498	1667.1375	2381.63
1 EAST 60 STREET	10022	187882	131518	18925.725	27036.75
1 EAST 65 STREET	10021	77745	54422	8662.5	12375
1 JANE STREET	10014	32193	22535	3267.5895	4667.99
1 LEXINGTON AVENUE	10010	149650	104755	15330	21900
1 PLAZA STREET	11217	37000	25900	3755	5365
1 SEAMAN AVENUE	10034	49640	34748	5212.2	7446
1 UNIVERSITY PLACE	10003	440592	308415	59693.13	85275.9
1 WEST 126 STREET	10027	0	0	0	0
1 WEST 30 STREET	10001	33763	23634	3426.843	4895.49
1 WEST 34 STREET	10001	41063	28744	4167.8438	5954.06
1 WEST 67 STREET	10023	185566	129896	19009.2	27156
10 BENNETT AVE	10033	21681	15177	2200.6215	3143.75
10 COOPER STREET	10034	45990	32193	6753.6	9648
10 EAST 198 STREET	10468	29740	20818	3150	4500
10 EAST 8 STREET	10003	26572	18600	1541.176	2201.68
10 EAST 85 STREET	10028	44712	31299	4694.865	6706.95
10 FAIRVIEW AVENUE	10040	29200	20440	3066	4380
10 HILLSIDE AVENUE	10040	59130	41391	6001.7	8573.85
10 MANHATTAN AVENUE	10025	2521050	1764735	0	0
10 OVERLOOK TERRACE	10033	82588	57812	8423.07	12032.96
10 PARK TERRACE EAST	10034	90520	63364	9504.6	13578
10 SHERIDAN SQUARE	10014	57488	40241	6036.24	8623.2
10 WEST 135 STREET	10037	179475	125633	18375	26250
10 WEST 182 STREET	10453	44968	31478	4725	6750
10 WEST 65 STREET	10023	49056	34339	4979.184	7113.12
10 WEST 86 STREET	10024	77088	53962	8094.24	11563.2
10 WEST 86 STREET	10024	26280	18396	4445.7	6351
10-36 46 AVENUE	11101	9840	6888	1015	1450
10-40 45 AVENUE	11101	39420	27594	4001.13	5715.9
100 BELMONT PLACE	10301	127750	89425	13413.75	19162.5
100 BENNETT AVENUE	10033	64605	45224	4725	6750
100 CABRINI BOULEVARD	10033	29675	20772	3115.875	4451.25
100 COOPER STREET	10034	35040	24528	3675	5250
100 FORT WASHINGTON AVENUE	10032	35040	24528	3675	5250
100 HAVEN AVENUE	10032	197100	137970	20695.5	29565
100 HUDSON STREET	10013	31755	22229	3223.1325	4604.48
100 LAFAYETTE STREET	10013	63875	44713	8335.6875	11908.13
100 OCEAN PARKWAY	11218	51246	35872	5460	7800
100 PARK TERRACE WEST	10034	120450	84315	12225.68	17465.25
100 RIVERSIDE DRIVE	10024	82125	57488	8623.125	12318.75
100 RIVERSIDE DRIVE	10024	57487	40241	6036.24	8623.2
100 ST NICHOLAS' AVENUE	10026	45990	32193	4667.985	6668.55
100 THAYER STREET	10040	40004	28003	4200	6000
100 WEST 12 STREET	10011	57488	40241	6036.24	8623.2
100 WEST 141 STREET	10030	41063	28744	4167.8945	5954.14
100 WEST 174 STREET	10453	22182510	15527757	0	0
100 WEST 75 STREET	10023	41063	28744	4167.8945	5954.14
100 WEST 80 STREET	10024	36956	25869	0	0
100 WEST 93 STREET	10025	147825	103478	15521.625	22173.75
100-26 67 ROAD	11375	59860	41902	6285.3	8979
1001 ANDERSON AVENUE	10452	19710	13797	2000.565	2857.95
1001 GRAND CONCOURSE	10452	68730	48111	7216.5975	10309.43
1001 JEROME AVENUE	10452	65700	45990	6898.5	9855
1001 ST NICHOLAS AVENUE	10032	40004	28003	4200	6000
1005 ESPLANADE AVE	10461	41062	28744	4167.9	5954.14
1005 WALTON AVENUE	10452	5512500	3858750	0	0
1006 GERARD AVENUE	10452	39693	27786	4167.84	5954.06
101 AUDUBON AVENUE	10032	20257	14180	2055.375	2936.25
101 CENTRAL PARK WEST	10023	274480	192136	28820.4	41172
101 CENTRAL PARK WEST	10023	274480	192136	28820.4	41172
101 EAST 16 STREET	10003	68729	48111	7216.5975	10309.43
101 WEST 15 STREET	10011	164989	115492	16901.325	24144.75
101 WEST 55 STREET	10019	173635	121545	17787	25410
101 WEST 57 STREET	10019	65700	45990	6898.5	9855
101 WEST 57 STREET	10019	49275	34493	5173.875	7391.25
101 WEST 80 STREET	10024	35770	25039	3556.56	5080.8
101 WEST 81 STREET	10024	57487	40241	5835.03	8335.76
101 WEST 84 STREET	10024	31427	21999	1481.9	2117
101 WEST 85 STREET	10024	40004	28003	4200.42	6000.6
1010 EAST TREMONT AVENUE	10460	57147	40003	5757.283	8224.69
1010 SHERMAN AVENUE	10456	49056	34339	5250	7500
1015 BOYNTON AVENUE	10472	41062	28744	4167.8945	5954.14
1015 GRAND CONCOURSE	10452	41062	28744	4167.8438	5954.06
1015 LEGGETT AVENUE	10455	35040	24528	3552.5	5075
1016 5 AVENUE	10028	141803	99262	14889.2625	21270.38
1016 5 AVENUE	10028	59860	41902	6285.3	8979
1016 50 STREET	11219	31171	21820	3163.8565	4519.8
1016 EAST 174 STREET	10460	29784	20849	3023.076	4318.68
102 CONVENT AVENUE	10027	28360	19852	2878.6415	4112.35
102 EAST 22 STREET	10010	52560	36792	5328.75	7612.5
102 EAST 31 STREET	10016	11060	7742	1122.59	1603.7
102 MADISON AVENUE	10016	50370	35259	5288.85	7555.5
102 WEST 38 STREET	10018	19950	13965	2024.925	2892.75
102 WEST 80 STREET	10024	32814	22969	3450.8985	4929.86
102 WEST 85 STREET	10024	45990	32193	4828.95	6898.5
1020 5 AVENUE	10028	47797	33458	4277.7	6111
1020 WALTON AVENUE	10452	31298	21909	3146.5	4495
1021 AVENUE ST JOHN	10455	49056	34339	4979.184	7113.12
1025 BOYNTON AVENUE	10472	44968	31478	4725	6750
1025 ESPLANADE	10461	44457	31120	4512.39	6446.27
1029 HALL PLACE	10459	20958	14671	2030	2900
103 AVENUE A	10009	20203	14142	1822.737	2603.91
103 EAST 75 STREET	10021	55480	38836	5631.22	8044.6
103 EAST 86 STREET	10028	45443	31810	4725	6750
103 HAWKSTONE STREET	10452	29674	20772	3115.875	4451.25
103 MAC DOUGAL STREET	10012	40961	28673	3315.375	4736.25
103 WEST 107 STREET	10025	18080	12656	1956.15	2794.5
1035 BOYNTON AVENUE	10472	0	0	0	0
1035 PARK AVENUE	10028	37668	26368	3955.14	5650.2
1036 PARK AVENUE	10028	41062	28744	4167.8945	5954.14
104 ELLIOT PLACE	10452	40004	28003	4200	6000
104 SULLIVAN STREET	10012	18068	12647	1833.8513	2619.79
104 WEST 27 STREET	10001	42431	29702	4452	6360
104 WEST 29 STREET	10001	51800	36260	5460	7800
104 WEST 70 STREET	10023	92153	64508	9676.17	13823.1
104 WEST 70 STREET	10023	64800	45360	6804	9720
104-21 68 DRIVE	11375	85082	59557	8933.5575	12762.23
1040 CARROLL STREET	11225	52560	36792	5512.5	7875
1040 EAST 149 STREET	10455	471397	329978	48289.5	68985
1040 PARK AVENUE	10028	108040	75628	11344.2	16206
1041 NELSON AVENUE	10452	50224	35157	5254.2	7506
1045 ANDERSON AVENUE	10452	26828	18779	2723.042	3890.06
1045 PARK AVENUE	10028	39164	27415	4112.2725	5874.68
1047 AMSTERDAM AVENUE	10025	198450	138915	20837.25	29767.5
1049 GRAND CONCOURSE	10452	24820	17374	2537.5	3625
1049 PARK AVENUE	10028	43800	30660	4620	6600
105 5 AVENUE	10003	47100	32970	4945.5	7065
105 CLINTON STREET	10002	40150	28105	4075.225	5821.75
105 EAST 106 STREET	10029	49056	34339	5150.88	7358.4
105 EAST 106 STREET	10029	49275	34493	5173.875	7391.25
105 EAST 15 STREET	10003	32850	22995	3449.25	4927.5
105 EAST 168 STREET	10452	27922	19546	2931.92	4188.45
105 EAST 24 STREET	10010	30405	21283	3086.0568	4408.65
105 EAST 63 STREET	10021	22995	16097	2333.9925	3334.28
105 PINEHURST AVENUE	10033	35770	25039	3755.85	5365.5
105 WEST 13 STREET	10011	65700	45990	6898.5	9855
105 WEST 13 STREET	10011	63875	44713	6706.875	9581.25
105 WEST 55 STREET	10019	49275	34493	5173.875	7391.25
105 WEST 72 STREET	10023	41062	28744	4161.5	5945
105-05 69 AVENUE	11375	60773	42541	6381.165	9115.95
1050 CARROLL PLACE	10456	64058	44840	6726.09	9608.7
1050 PARK AVENUE	10028	121618	85133	12769.89	18242.7
1051 ELDER AVENUE	10472	32996	23097	3465	4950
1055 ESPLANADE	10461	68730	48111	7216.65	10309.5
1055 WALTON AVENUE	10452	35040	24528	3675	5250
1056 5 AVENUE	10028	64057	44840	6726.09	9608.7
1056 BOYNTON AVENUE	10472	54896	38427	5775	8250
1058 SOUTHERN BOULEVARD	10459	100604	70423	10347.855	14782.65
106 CABRINI BOULEVARD	10033	44968	31478	4725	6750
106 HAVEN AVENUE	10032	16425	11498	1667.1375	2381.63
106 MARCY PLACE	10452	39694	27786	4028.9157	5755.59
106 PINEHURST AVENUE	10033	65700	45990	6898.5	9855
