1 EAST 35 STREET	2122.75
1007 ATLANTIC AVENUE	529.93
118 Fulton Street	15211.9
124 GRAHAM - EASTERN LIGHT	1704.11
125 Metropolitan Avenue	11
141 E 23 ST	153.25
145 MADISON AVENUE	480.3
149 Kent Avenue	1
157 GRAHAM AVE	2875
160 Madison Avenue	10792.52
166 EAST 2ND STREET	794.28
174 North 11th Street	1488
1766-68 SECOND AVENUE	30880.08
181 Front Street	125.68
1850 Second Avenue	19765.06
1865 Second Avenue	6.35
19 HUMBOLDT - EASTERN LIGHT	0.3
19 India Street (145 West Street)	19183
200 East 39th Street	3424.2
202 WEST 108 ST	5073
205 EAST 92ND STREET	136.2
210 Livingston Street	13256.1
210 WEST 102ND ST SETTLEMENT	11820
217-221 W. 29th Street	274
222 EAST 44TH STREET	10727.2
225 E 39th Street (fka 222 East 40th Street)	21664.29
228 EAST 46TH STREET	60.5
229 Cherry Street	14663.49
250 EAST 60TH STREET	180
250-254 EAST 4TH STREET	7605.19
261 Hudson Street	8962.92
27 Albany	1614
28 E 29 ST	17.3
300 E 39 S (MN)	182.97
301 West 46th Street	54
316 EAST 91ST STREET	11289.43
321 East 60th Street	6124.78
327-331 East Houston Street	368.34
33 Bond Street	29638.68
33 WEST END AVENUE	38108
330 WEST 39TH STREET	0.1
334 EAST 96 ST	13623.22
351 E 54 S	624.5
351 E 61 S_RPT1	47060.5
385 THIRD AVENUE	249.25
40 Riverside Boulevard	7552
400 THIRD AVE	23507.25
417 AND 438 EAST 76TH STREET	2240.75
439 West 53rd Street	47.12
440 WEST 42ND STREET	7440.63
5-15 W 63 S	2918.43
500 Waverly	10
501 WEST 51ST STREET	3094.53
504 MYRTLE AVENUE	21722.89
515 West 28th Street	8975
546 West 44th Street	2163
555 Tenth Avenue	2326
56 FULTON STREET	14223.52
601 WEST 59TH STREET (1 WEST END AVENUE)	1442
605 WEST 42ND ST	2116
635 4TH AVENUE	1546.6
68 Charlton	133
69 EAST 125TH STREET	456
7 West 21st Street	20375.44
774 Grand Street	523.08
845 GRAND ST	1907.16
86 Fleet Place	6361.72
9, 11 -17 Second Avenue	262.1
901 MYRTLE AVENUE	165
94-02 148th Street	10069
Avalon West Chelsea	106
BAM CULTURAL DISTRICT NORTH SITE- TOWER I	165
COMPASS RESIDENCES 1A	507.55
COMPASS RESIDENCES 1B	62.45
East 138 Street	419
GREENPOINT LANDING G2	6816
Lower East Side - Inclusionary Zoning	20.4
Manhattan West (371 Ninth Avenue)	141277
Morris Court	5992
NEIGHBORHOOD WOMEN HDFC	0.6
Norwood Gardens	7515.39
PHIPPS PLAZA NORTH	12874.75
PHIPPS PLAZA SOUTH/KB 25	3003.25
Prince George Hotel	141709
RIVER PLACE II	77330
THE GARVEY	7269.84
THE HUB	47182.28
WILLIAMSBURG EDGE	55375
